交易日期,时间戳,选股器名称,选股器类型,股票代码,股票名称,所属行业,市场,总市值,连续天数
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,002878.SZ,元隆雅图,广告包装,主板,495665.7457,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,601515.SH,东峰集团,广告包装,主板,806005.4508,1
2025/9/19,20250919_164140,填坑战法,PeakKDJSelector,002846.SZ,英联股份,广告包装,主板,662749.9576,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,603569.SH,长久物流,公路,主板,485823.3371,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,000582.SZ,北部湾港,港口,主板,1959695.719,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,000905.SZ,厦门港务,港口,主板,621636.4423,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,001872.SZ,招商港口,港口,主板,5120587.656,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,002478.SZ,常宝股份,钢加工,主板,502750.3152,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,000017.SZ,深中华A,服饰,主板,439010.8023,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,002574.SZ,明牌珠宝,服饰,主板,314160,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,002612.SZ,朗姿股份,服饰,主板,784898.0953,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,002867.SZ,周大生,服饰,主板,1429569.117,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,603900.SH,莱绅通灵,服饰,主板,385558.7962,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,605138.SH,盛泰集团,服饰,主板,430561.8946,1
2025/9/19,20250919_164140,TePu战法,BreakoutVolumeKDJSelector,600916.SH,中国黄金,服饰,主板,1382640,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,001390.SZ,古麒绒材,纺织,主板,487600,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,002144.SZ,宏达高科,纺织,主板,223604.5979,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,603238.SH,诺邦股份,纺织,主板,333539.411,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,605180.SH,华生科技,纺织,主板,279357,1
2025/9/19,20250919_164140,SuperB1战法,SuperB1Selector,002144.SZ,宏达高科,纺织,主板,223604.5979,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,601698.SH,中国卫通,电信运营,主板,8723355.876,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,002175.SZ,东方智造,电器仪表,主板,594979.8188,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,000821.SZ,京山轻机,电气设备,主板,737483.7372,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,002580.SZ,圣阳股份,电气设备,主板,621346.6514,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,002882.SZ,金龙羽,电气设备,主板,1358007.3,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,601700.SH,风范股份,电气设备,主板,540282.6891,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,603105.SH,芯能科技,电气设备,主板,425505.6804,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,603185.SH,弘元绿能,电气设备,主板,1277919.784,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,603333.SH,尚纬股份,电气设备,主板,520218.5895,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,603628.SH,清源股份,电气设备,主板,359461.9258,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,603685.SH,晨丰科技,电气设备,主板,266189.3719,1
2025/9/19,20250919_164140,SuperB1战法,SuperB1Selector,002168.SZ,*ST惠程,电气设备,主板,321506.9809,1
2025/9/19,20250919_164140,SuperB1战法,SuperB1Selector,002882.SZ,金龙羽,电气设备,主板,1358007.3,1
2025/9/19,20250919_164140,TePu战法,BreakoutVolumeKDJSelector,002805.SZ,丰元股份,电气设备,主板,368842.323,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,600150.SH,中国船舶,船舶,主板,17437999.73,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,601858.SH,中国科传,出版业,主板,1569933,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,605577.SH,龙版传媒,出版业,主板,593333.3341,1
2025/9/19,20250919_164140,TePu战法,BreakoutVolumeKDJSelector,605577.SH,龙版传媒,出版业,主板,593333.3341,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,603708.SH,家家悦,超市连锁,主板,690044.1077,1
2025/9/19,20250919_164140,SuperB1战法,SuperB1Selector,603708.SH,家家悦,超市连锁,主板,690044.1077,1
2025/9/19,20250919_164140,填坑战法,PeakKDJSelector,002251.SZ,步步高,超市连锁,主板,1274443.653,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,603713.SH,密尔克卫,仓储物流,主板,866378.6877,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,603078.SH,江化微,半导体,主板,720370.3793,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,600628.SH,新世界,百货,主板,491625.2918,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,600697.SH,欧亚集团,百货,主板,201405.503,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,600712.SH,南宁百货,百货,主板,376356.8538,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,600814.SH,杭州解百,百货,主板,567501.5217,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,600828.SH,茂业商业,百货,主板,722236.7217,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,600865.SH,百大集团,百货,主板,340121.2457,1
2025/9/19,20250919_164140,填坑战法,PeakKDJSelector,600712.SH,南宁百货,百货,主板,376356.8538,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,000568.SZ,泸州老窖,白酒,主板,17979887.61,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,000596.SZ,古井贡酒,白酒,主板,7303137.6,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,000858.SZ,五粮液,白酒,主板,47441013.04,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,002304.SZ,洋河股份,白酒,主板,10362835.66,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,600197.SH,伊力特,白酒,主板,706449.8525,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,600199.SH,金种子酒,白酒,主板,683450.9001,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,600559.SH,老白干酒,白酒,主板,1534031.464,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,600702.SH,舍得酒业,白酒,主板,1715580.571,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,600779.SH,水井坊,白酒,主板,2039225.877,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,603198.SH,迎驾贡酒,白酒,主板,3295200,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,603919.SH,金徽酒,白酒,主板,941474.5544,1
2025/9/19,20250919_164140,SuperB1战法,SuperB1Selector,002304.SZ,洋河股份,白酒,主板,10362835.66,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,002197.SZ,ST证通,IT设备,主板,438655.1306,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,603660.SH,苏州科达,IT设备,主板,411668.6334,1
